source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
mre2,mr2,781881.663,782401.837,10000000,0.053,low_dl
mr1,mre1,783932.001,784616.420,150000000,0.054,low_ul
mre1,mr1,783932.001,784616.420,10000000,0.054,low_dl
mr2,mre3,793201.837,794701.837,150000000,0.076,low_ul
mre3,mr2,793201.837,794701.837,10000000,0.076,low_dl
mgs2,mre3,809627.551,824027.551,300000000,1198.969,trunk
mre3,mgs2,809627.551,824027.551,300000000,1198.969,high_dl
mr1,mre3,810580.116,812080.116,150000000,0.076,low_ul
mre3,mr1,810580.116,812080.116,10000000,0.076,low_dl
mr2,mre3,819973.895,821473.895,150000000,0.076,low_ul
mre3,mr2,819973.895,821473.895,10000000,0.076,low_dl
mgs2,mre2,830458.179,834767.937,300000000,1198.831,trunk
mre2,mgs2,830458.179,834767.937,300000000,1198.831,trunk
mr1,mre1,830841.392,831536.583,150000000,0.054,low_ul
mre1,mr1,830841.392,831536.583,10000000,0.054,low_dl
mr1,mre3,846924.504,848424.504,150000000,0.076,low_ul
mre3,mr1,846924.504,848424.504,10000000,0.076,low_dl
mr2,mre3,857349.995,858849.995,150000000,0.076,low_ul
mre3,mr2,857349.995,858849.995,10000000,0.076,low_dl
mgs1,mre3,857661.424,872061.424,300000000,1198.687,trunk
mre3,mgs1,857661.424,872061.424,300000000,1198.687,high_dl
mr1,mre1,869078.753,869783.777,150000000,0.054,low_ul
mre1,mr1,869078.753,869783.777,10000000,0.054,low_dl
mr1,mre3,884642.178,886022.178,150000000,0.076,low_ul
mre3,mr1,884642.178,886022.178,10000000,0.076,low_dl
mr2,mre3,895776.335,897276.335,150000000,0.076,low_ul
mre3,mr2,895776.335,897276.335,10000000,0.076,low_dl
mgs2,mre3,895953.879,910353.879,300000000,1198.472,trunk
mre3,mgs2,895953.879,910353.879,300000000,1198.472,high_dl
mgs2,mre2,910961.884,915264.341,300000000,1198.385,trunk
mre2,mgs2,910961.884,915264.341,300000000,1198.385,trunk
mr2,mre2,913394.253,913895.696,150000000,0.053,low_ul
mre2,mr2,913394.253,913895.696,10000000,0.053,low_dl
mr1,mre1,915997.047,916692.663,150000000,0.054,low_ul
mre1,mr1,915997.047,916692.663,10000000,0.054,low_dl
mr1,mre3,927492.663,928992.663,150000000,0.076,low_ul
mre3,mr1,927492.663,928992.663,10000000,0.076,low_dl
mr2,mre3,932328.191,933828.191,150000000,0.076,low_ul
mre3,mr2,932328.191,933828.191,10000000,0.076,low_dl
mgs1,mre3,944040.813,958440.813,300000000,1198.227,trunk
mre3,mgs1,944040.813,958440.813,300000000,1198.227,high_dl
mr2,mre2,956459.798,956716.077,150000000,0.053,low_ul
mre2,mr2,956459.798,956716.077,10000000,0.053,low_dl
mr1,mre3,959305.720,960805.720,150000000,0.076,low_ul
mre3,mr1,959305.720,960805.720,10000000,0.076,low_dl
mr2,mre3,971788.168,973288.168,150000000,0.076,low_ul
mre3,mr2,971788.168,973288.168,10000000,0.076,low_dl
mgs2,mre3,982277.541,996677.541,300000000,1197.962,trunk
mre3,mgs2,982277.541,996677.541,300000000,1197.962,high_dl
mgs2,mre2,998174.185,1002469.002,300000000,1197.897,trunk
mre2,mgs2,998174.185,1002469.002,300000000,1197.897,trunk
mr1,mre3,998679.426,1000179.426,150000000,0.076,low_ul
mre3,mr1,998679.426,1000179.426,10000000,0.076,low_dl
mr2,mre2,1000694.531,1001058.684,150000000,0.053,low_ul
mre2,mr2,1000694.531,1001058.684,10000000,0.053,low_dl
mgs2,mre2,1004882.820,1007674.554,300000000,1197.863,trunk
mre2,mgs2,1004882.820,1007674.554,300000000,1197.863,trunk
mr2,mre3,1011858.684,1013358.684,150000000,0.076,low_ul
mre3,mr2,1011858.684,1013358.684,10000000,0.076,low_dl
mgs1,mre1,1030420.678,1044820.678,300000000,1197.712,trunk
mre1,mgs1,1030420.678,1044820.678,300000000,1197.712,high_dl
mr1,mre3,1034921.643,1036421.643,150000000,0.076,low_ul
mre3,mr1,1034921.643,1036421.643,10000000,0.076,low_dl
mr2,mre3,1046849.963,1048349.963,150000000,0.076,low_ul
mre3,mr2,1046849.963,1048349.963,10000000,0.076,low_dl
mgs2,mre3,1068600.097,1083000.097,300000000,1197.501,trunk
mre3,mgs2,1068600.097,1083000.097,300000000,1197.501,high_dl
mr1,mre3,1073987.871,1075487.871,150000000,0.076,low_ul
mre3,mr1,1073987.871,1075487.871,10000000,0.076,low_dl
mr2,mre3,1083578.886,1085078.886,150000000,0.076,low_ul
mre3,mr2,1083578.886,1085078.886,10000000,0.076,low_dl
mgs2,mre2,1085386.439,1089673.887,300000000,1197.401,trunk
mre2,mgs2,1085386.439,1089673.887,300000000,1197.401,trunk
mgs2,mre2,1092095.070,1094076.338,300000000,1197.367,trunk
mre2,mgs2,1092095.070,1094076.338,300000000,1197.367,trunk
mr1,mre1,1093526.165,1094234.173,150000000,0.054,low_ul
mre1,mr1,1093526.165,1094234.173,10000000,0.054,low_dl
mr1,mre3,1110521.606,1112021.606,150000000,0.076,low_ul
mre3,mr1,1110521.606,1112021.606,10000000,0.076,low_dl
mgs1,mre3,1116800.559,1131200.559,300000000,1197.200,trunk
mre3,mgs1,1116800.559,1131200.559,300000000,1197.200,high_dl
mr1,mre1,1131991.152,1132214.154,150000000,0.054,low_ul
mre1,mr1,1131991.152,1132214.154,10000000,0.054,low_dl
mr2,mre2,1137442.641,1137956.691,150000000,0.053,low_ul
mre2,mr2,1137442.641,1137956.691,10000000,0.053,low_dl
mr1,mre3,1147850.162,1149350.162,150000000,0.076,low_ul
mre3,mr1,1147850.162,1149350.162,10000000,0.076,low_dl
mgs2,mre2,1154921.994,1156754.706,300000000,1196.991,trunk
mre2,mgs2,1154921.994,1156754.706,300000000,1196.991,trunk
mgs2,mre2,1159181.386,1163462.801,300000000,1196.977,trunk
mre2,mgs2,1159181.386,1163462.801,300000000,1196.977,trunk
mr2,mre3,1159447.161,1160947.161,150000000,0.076,low_ul
mre3,mr2,1159447.161,1160947.161,10000000,0.076,low_dl
mgs2,mre2,1165890.017,1170170.895,300000000,1196.936,trunk
mre2,mgs2,1165890.017,1170170.895,300000000,1196.936,trunk
mgs2,mre2,1172598.646,1176878.989,300000000,1196.897,trunk
mre2,mgs2,1172598.646,1176878.989,300000000,1196.897,trunk
mr2,mre2,1181716.536,1182234.760,150000000,0.053,low_ul
mre2,mr2,1181716.536,1182234.760,10000000,0.053,low_dl
mr1,mre1,1185931.040,1186594.637,150000000,0.054,low_ul
mre1,mr1,1185931.040,1186594.637,10000000,0.054,low_dl
mr2,mre3,1195919.219,1197419.219,150000000,0.076,low_ul
mre3,mr2,1195919.219,1197419.219,10000000,0.076,low_dl
mgs1,mre3,1203180.682,1217580.682,300000000,1196.736,trunk
mre3,mgs1,1203180.682,1217580.682,300000000,1196.736,high_dl
mr1,mre3,1222882.700,1224382.700,150000000,0.076,low_ul
mre3,mr1,1222882.700,1224382.700,10000000,0.076,low_dl
mr2,mre2,1224670.690,1225181.698,150000000,0.053,low_ul
mre2,mr2,1224670.690,1225181.698,10000000,0.053,low_dl
mr2,mre3,1235981.698,1237481.698,150000000,0.076,low_ul
mre3,mr2,1235981.698,1237481.698,10000000,0.076,low_dl
mgs2,mre2,1241242.240,1243959.972,300000000,1196.486,trunk
mre2,mgs2,1241242.240,1243959.972,300000000,1196.486,trunk
mgs2,mre2,1246393.554,1250668.081,300000000,1196.466,trunk
mre2,mgs2,1246393.554,1250668.081,300000000,1196.466,trunk
mgs2,mre2,1253102.181,1257376.192,300000000,1196.424,trunk
mre2,mgs2,1253102.181,1257376.192,300000000,1196.424,trunk
mgs2,mre2,1259810.806,1264084.301,300000000,1196.386,trunk
mre2,mgs2,1259810.806,1264084.301,300000000,1196.386,trunk
mr1,mre3,1262324.801,1263824.801,150000000,0.076,low_ul
mre3,mr1,1262324.801,1263824.801,10000000,0.076,low_dl
mr2,mre2,1268933.980,1269469.410,150000000,0.053,low_ul
mre2,mr2,1268933.980,1269469.410,10000000,0.053,low_dl
mr2,mre3,1280269.410,1281769.410,150000000,0.076,low_ul
mre3,mr2,1280269.410,1281769.410,10000000,0.076,low_dl
mgs1,mre1,1289561.661,1303961.661,300000000,1196.214,trunk
mre1,mgs1,1289561.661,1303961.661,300000000,1196.214,high_dl
mr1,mre3,1298523.845,1300023.845,150000000,0.076,low_ul
mre3,mr1,1298523.845,1300023.845,10000000,0.076,low_dl
mr2,mre3,1310127.639,1311627.639,150000000,0.076,low_ul
mre3,mr2,1310127.639,1311627.639,10000000,0.076,low_dl
mr1,mre1,1316565.876,1317192.767,150000000,0.054,low_ul
mre1,mr1,1316565.876,1317192.767,10000000,0.054,low_dl
mgs2,mre3,1327560.612,1341960.612,300000000,1195.958,trunk
mre3,mgs2,1327560.612,1341960.612,300000000,1195.958,high_dl
mr1,mre3,1337320.096,1338820.096,150000000,0.076,low_ul
mre3,mr1,1337320.096,1338820.096,10000000,0.076,low_dl
mgs2,mre2,1347022.921,1351289.817,300000000,1195.866,trunk
mre2,mgs2,1347022.921,1351289.817,300000000,1195.866,trunk
mr2,mre3,1347194.192,1348694.192,150000000,0.076,low_ul
mre3,mr2,1347194.192,1348694.192,10000000,0.076,low_dl
mr1,mre1,1356470.791,1356706.321,150000000,0.054,low_ul
mre1,mr1,1356470.791,1356706.321,10000000,0.054,low_dl
mr1,mre3,1374126.539,1375626.539,150000000,0.076,low_ul
mre3,mr1,1374126.539,1375626.539,10000000,0.076,low_dl
