source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
lgw,lgs1,922908.717,968741.836,100000000,1.457,high_dl
lgs1,lre1,924973.513,952870.475,300000000,1.376,low_ul
lre1,lgs1,924973.513,952870.475,100000000,1.376,high_dl
lb,lre2,929500.730,1000602.065,150000000,0.073,low_ul
lre2,lb,929500.730,1000602.065,1000000000,0.073,high_dl
lre1,lgw,950719.959,1035947.629,150000000,0.296,prox
lgw,lre1,950719.959,1035947.629,150000000,0.296,prox
lgw,lre1,950719.959,1035947.629,150000000,0.296,prox
lre1,lgw,950719.959,1035947.629,150000000,0.296,prox
lrov,lre1,951618.583,978115.253,150000000,0.058,low_ul
lre1,lrov,951618.583,978115.253,1000000000,0.058,high_dl
lgs1,lre1,956679.846,968771.479,300000000,1.400,low_ul
lre1,lgs1,956679.846,968771.479,100000000,1.400,high_dl
lb,lre1,957264.641,1028758.128,150000000,0.071,low_ul
lre1,lb,957264.641,1028758.128,1000000000,0.071,high_dl
lgs2,lre2,962710.799,989466.276,300000000,1.372,low_ul
lre2,lgs2,962710.799,989466.276,100000000,1.372,high_dl
lgs2,lgw,964343.013,986068.849,300000000,1.460,low_ul
lgw,lgs2,964343.013,986068.849,1000000000,1.460,high_dl
lgs3,lre2,989316.992,1018732.629,300000000,1.389,low_ul
lre2,lgs3,989316.992,1018732.629,100000000,1.389,high_dl
lgs3,lre1,990132.258,1018530.177,300000000,1.406,low_ul
lre1,lgs3,990132.258,1018530.177,100000000,1.406,high_dl
lgs3,lgw,990719.784,1015420.513,300000000,1.460,low_ul
lgw,lgs3,990719.784,1015420.513,100000000,1.460,high_dl
lre2,lgw,1009145.630,1094524.027,150000000,0.283,prox
lgw,lre2,1009145.630,1094524.027,150000000,0.283,prox
lgw,lre2,1009145.630,1094524.027,150000000,0.283,prox
lre2,lgw,1009145.630,1094524.027,150000000,0.283,prox
lgs1,lgw,1011245.404,1058232.410,300000000,1.458,low_ul
lgw,lgs1,1011245.404,1058232.410,100000000,1.458,high_dl
lgs1,lre1,1013421.288,1040114.612,300000000,1.386,low_ul
lre1,lgs1,1013421.288,1040114.612,100000000,1.386,high_dl
lb,lre2,1015874.543,1086982.525,150000000,0.073,low_ul
lre2,lb,1015874.543,1086982.525,1000000000,0.073,high_dl
lre1,lgw,1036802.282,1295247.067,150000000,0.271,prox
lgw,lre1,1036802.282,1295247.067,150000000,0.271,prox
lgw,lre1,1036802.282,1295247.067,150000000,0.271,prox
lre1,lgw,1036802.282,1295247.067,150000000,0.271,prox
lrov,lre1,1038254.552,1069519.676,150000000,0.059,low_ul
lre1,lrov,1038254.552,1069519.676,1000000000,0.059,high_dl
lgs1,lre1,1042980.390,1058502.163,300000000,1.403,low_ul
lre1,lgs1,1042980.390,1058502.163,100000000,1.403,high_dl
lb,lre1,1043677.732,1115182.453,150000000,0.071,low_ul
lre1,lb,1043677.732,1115182.453,1000000000,0.071,high_dl
lgs2,lre2,1053351.345,1077275.038,300000000,1.377,low_ul
lre2,lgs2,1053351.345,1077275.038,100000000,1.377,high_dl
lgs2,lgw,1054676.280,1074136.884,300000000,1.452,low_ul
lgw,lgs2,1054676.280,1074136.884,1000000000,1.452,high_dl
lgs3,lre2,1079539.306,1106915.374,300000000,1.390,low_ul
lre2,lgs3,1079539.306,1106915.374,100000000,1.390,high_dl
lgs3,lre1,1080429.644,1106801.602,300000000,1.411,low_ul
lre1,lgs3,1080429.644,1106801.602,100000000,1.411,high_dl
lgs3,lgw,1080630.440,1104142.580,300000000,1.446,low_ul
lgw,lgs3,1080630.440,1104142.580,100000000,1.446,high_dl
lre2,lgw,1095835.460,1181479.748,150000000,0.235,prox
lgw,lre2,1095835.460,1181479.748,150000000,0.235,prox
lgw,lre2,1095835.460,1181479.748,150000000,0.235,prox
lre2,lgw,1095835.460,1181479.748,150000000,0.235,prox
lgs1,lgw,1100232.731,1147725.010,300000000,1.441,low_ul
lgw,lgs1,1100232.731,1147725.010,100000000,1.441,high_dl
lgs1,lre1,1102142.814,1148266.721,300000000,1.391,low_ul
lre1,lgs1,1102142.814,1148266.721,100000000,1.391,high_dl
lb,lre2,1102249.218,1173367.308,150000000,0.073,low_ul
lre2,lb,1102249.218,1173367.308,1000000000,0.073,high_dl
