source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
mre1,mr2,362146.177,362859.362,1000000,0.054,low_dl
mr1,mre2,365952.725,366406.725,15000000,0.053,low_ul
mre2,mr1,365952.725,366406.725,1000000,0.053,low_dl
mgs1,mre1,366332.194,372452.281,1000000,1201.237,trunk
mre1,mgs1,366332.194,372452.281,4000000,1201.237,trunk
mgs1,mre2,367561.055,371917.756,1000000,1201.230,trunk
mre2,mgs1,367561.055,371917.756,4000000,1201.230,trunk
mr2,mre3,368466.221,380338.753,15000000,0.076,low_ul
mre3,mr2,368466.221,380338.753,1000000,0.076,low_dl
mgs1,mre1,373428.425,379557.943,1000000,1201.206,trunk
mre1,mgs1,373428.425,379557.943,4000000,1201.206,trunk
mgs1,mre2,374269.716,378625.674,1000000,1201.201,trunk
mre2,mgs1,374269.716,378625.674,4000000,1201.201,trunk
mgs2,mre3,377976.014,402892.827,1000000,1201.173,trunk
mre3,mgs2,377976.014,402892.827,4000000,1201.173,trunk
mgs2,mre2,377976.371,378625.680,1000000,1201.188,trunk
mre2,mgs2,377976.371,378625.680,4000000,1201.188,trunk
mgs2,mre1,377976.378,379558.099,1000000,1201.188,trunk
mre1,mgs2,377976.378,379558.099,4000000,1201.188,trunk
mgs2,mre1,380524.515,386663.829,1000000,1201.180,trunk
mre1,mgs2,380524.515,386663.829,4000000,1201.180,trunk
mgs1,mre1,380524.574,383668.690,1000000,1201.179,trunk
mre1,mgs1,380524.574,383668.690,4000000,1201.179,trunk
mgs1,mre2,380978.375,383668.449,1000000,1201.176,trunk
mre2,mgs1,380978.375,383668.449,4000000,1201.176,trunk
mgs2,mre2,380978.405,385333.607,1000000,1201.176,trunk
mre2,mgs2,380978.405,385333.607,4000000,1201.176,trunk
mr2,mre2,383364.957,383899.254,15000000,0.053,low_ul
mre2,mr2,383364.957,383899.254,1000000,0.053,low_dl
mr1,mre1,383417.404,384061.620,15000000,0.054,low_ul
mre1,mr1,383417.404,384061.620,1000000,0.054,low_dl
mgs2,mre1,387620.617,393769.617,1000000,1201.142,trunk
mre1,mgs2,387620.617,393769.617,4000000,1201.142,trunk
mgs2,mre2,387687.070,392041.534,1000000,1201.140,trunk
mre2,mgs2,387687.070,392041.534,4000000,1201.140,trunk
mr1,mre1,390856.449,391104.442,15000000,0.054,low_ul
